tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58552875,3304,58552.934075294,-0.10811868,-0.14311865,0.00437846,-0.98377246
58553093,3319,58553.142410594,-0.10814407,-0.14314264,0.00438623,-0.98376614
58553296,3334,58553.351723340,-0.10813760,-0.14322133,0.00435939,-0.98375553
58553500,3348,58553.547011991,-0.10810903,-0.14312676,0.00431192,-0.98377270
58553703,3363,58553.756051428,-0.10814328,-0.14307152,0.00438114,-0.98377669
58553906,3378,58553.964918745,-0.10812473,-0.14306104,0.00442603,-0.98378003
58554109,3393,58554.173668308,-0.10809721,-0.14310628,0.00440307,-0.98377651
58554312,3408,58554.390707441,-0.10821549,-0.14317620,0.00441967,-0.98375332
58554515,3422,58554.583234568,-0.10814147,-0.14313093,0.00431872,-0.98376846
58554734,3437,58554.789940753,-0.10818478,-0.14312430,0.00437255,-0.98376447
58554937,3452,58554.997995355,-0.10811467,-0.14316016,0.00428922,-0.98376721
58555140,3467,58555.206330855,-0.10812128,-0.14315423,0.00432079,-0.98376727
58555343,3481,58555.400777155,-0.10812345,-0.14311573,0.00430053,-0.98377270
58555546,3496,58555.609159555,-0.10819153,-0.14307922,0.00434550,-0.98377043
58555750,3511,58555.817494855,-0.10821439,-0.14317128,0.00434402,-0.98375440
58555953,3526,58556.026718574,-0.10826883,-0.14318264,0.00432427,-0.98374689
58556156,3540,58556.221165474,-0.10823501,-0.14304812,0.00426919,-0.98377043
58556375,3555,58556.429500674,-0.10818978,-0.14312743,0.00435790,-0.98376352
58556578,3568,58556.630538474,-0.10818484,-0.14313848,0.00440458,-0.98376226
58556781,3583,58556.838874374,-0.10823167,-0.14314193,0.00442455,-0.98375642
58556984,3598,58557.051088276,-0.10813731,-0.14317690,0.00437508,-0.98376197
58557187,3613,58557.257550519,-0.10817873,-0.14309125,0.00433425,-0.98377013
58557390,3626,58557.436626335,-0.10820681,-0.14310311,0.00431008,-0.98376530
58557593,3639,58557.656545618,-0.10816234,-0.14308345,0.00440322,-0.98377270
58557796,3654,58557.864022044,-0.10812765,-0.14314553,0.00440979,-0.98376745
58558015,3667,58558.047881566,-0.10814308,-0.14309672,0.00442398,-0.98377281
58558218,3682,58558.281829566,-0.10817873,-0.14309815,0.00443024,-0.98376864
58558421,3696,58558.476275666,-0.10812816,-0.14315924,0.00434270,-0.98376566
58558625,3711,58558.684610666,-0.10816590,-0.14315714,0.00434620,-0.98376179
58558828,3726,58558.890819958,-0.10815983,-0.14315107,0.00434731,-0.98376334
58559031,3741,58559.099155358,-0.10819454,-0.14317621,0.00439486,-0.98375571
58559234,3755,58559.293601958,-0.10815139,-0.14314803,0.00438521,-0.98376459
58559437,3770,58559.501937558,-0.10817558,-0.14317304,0.00435533,-0.98375845
58559640,3785,58559.710273558,-0.10814780,-0.14316553,0.00432618,-0.98376268
58559843,3800,58559.928043286,-0.10815245,-0.14319402,0.00434228,-0.98375803
58560062,3814,58560.119370256,-0.10817301,-0.14315981,0.00430741,-0.98376083
58560265,3829,58560.325101651,-0.10819797,-0.14313374,0.00435276,-0.98376167
58560468,3844,58560.531500529,-0.10816019,-0.14322017,0.00435335,-0.98375326
58560671,3858,58560.724538796,-0.10815311,-0.14316246,0.00439448,-0.98376220
58560875,3872,58560.938262675,-0.10816165,-0.14313692,0.00437624,-0.98376518
58561078,3886,58561.146598275,-0.10818908,-0.14318809,0.00442167,-0.98375446
58561281,3901,58561.367826900,-0.10815109,-0.14317068,0.00433989,-0.98376155
58561500,3916,58561.576162500,-0.10814459,-0.14319026,0.00433652,-0.98375940
58561703,3930,58561.769529684,-0.10817203,-0.14323618,0.00432674,-0.98374975
58561906,3943,58561.980615380,-0.10820575,-0.14322741,0.00438510,-0.98374701
58562109,3958,58562.188951580,-0.10817529,-0.14316162,0.00443150,-0.98375982
58562312,3971,58562.394525780,-0.10825495,-0.14318830,0.00434725,-0.98374748
58562515,3983,58562.601782080,-0.10821916,-0.14320798,0.00439755,-0.98374838
58562718,3995,58562.801123180,-0.10818777,-0.14324708,0.00438032,-0.98374617
58562921,4009,58563.006171109,-0.10821423,-0.14322022,0.00438625,-0.98374712
58563140,4022,58563.200617609,-0.10825048,-0.14320771,0.00435172,-0.98374510
58563343,4036,58563.408953409,-0.10818329,-0.14321890,0.00438443,-0.98375082
58563546,4051,58563.617290009,-0.10821931,-0.14316945,0.00432505,-0.98375422
58563750,4065,58563.825625709,-0.10815500,-0.14312884,0.00438865,-0.98376703
58563953,4079,58564.025181518,-0.10818131,-0.14315891,0.00437423,-0.98375976
58564156,4093,58564.219628718,-0.10821883,-0.14314465,0.00437142,-0.98375773
58564375,4108,58564.427964618,-0.10820337,-0.14315785,0.00438173,-0.98375750
58564578,4122,58564.636300118,-0.10822310,-0.14311118,0.00438794,-0.98376203
58564781,4137,58564.844635518,-0.10816838,-0.14311919,0.00434162,-0.98376715
58564984,4151,58565.037037929,-0.10827333,-0.14311837,0.00432408,-0.98375577
58565187,4165,58565.245373229,-0.10818516,-0.14314494,0.00434469,-0.98376149
58565390,4177,58565.439819729,-0.10823239,-0.14307697,0.00441307,-0.98376590
58565593,4190,58565.662043929,-0.10817414,-0.14313418,0.00435309,-0.98376423
58565796,4205,58565.870379129,-0.10822534,-0.14318582,0.00436121,-0.98375112
58566015,4219,58566.064303922,-0.10821199,-0.14318444,0.00432062,-0.98375291
58566218,4232,58566.272639422,-0.10816072,-0.14313772,0.00437267,-0.98376507
58566421,4247,58566.480974822,-0.10819492,-0.14314045,0.00435372,-0.98376101
58566625,4258,58566.689309422,-0.10821825,-0.14312002,0.00435570,-0.98376143
58566828,4271,58566.888042091,-0.10818136,-0.14308766,0.00443056,-0.98376995
58567031,4286,58567.096377691,-0.10820314,-0.14307286,0.00436995,-0.98376995
58567234,4301,58567.304712991,-0.10825307,-0.14313863,0.00433689,-0.98375499
58567453,4314,58567.501335891,-0.10824580,-0.14309825,0.00440017,-0.98376143
58567656,4329,58567.711815707,-0.10821877,-0.14306596,0.00429382,-0.98376954
58567859,4344,58567.922830422,-0.10822343,-0.14312086,0.00438356,-0.98376060
58568062,4359,58568.132847477,-0.10820366,-0.14310364,0.00435733,-0.98376536
58568265,4373,58568.337140587,-0.10816694,-0.14312784,0.00441589,-0.98376566
58568468,4388,58568.541318313,-0.10818726,-0.14308284,0.00431839,-0.98377049
58568671,4403,58568.745924810,-0.10821652,-0.14310227,0.00443073,-0.98376393
58568875,4418,58568.957363528,-0.10818174,-0.14308205,0.00433314,-0.98377103
58569093,4432,58569.151809528,-0.10815747,-0.14312169,0.00437164,-0.98376775
58569296,4446,58569.346256728,-0.10813414,-0.14309040,0.00432814,-0.98377514
58569500,4460,58569.567692328,-0.10814105,-0.14312501,0.00433974,-0.98376930
58569703,4475,58569.776027928,-0.10819468,-0.14314955,0.00438291,-0.98375958
58569906,4490,58569.978473290,-0.10819926,-0.14315331,0.00424865,-0.98375922
58570109,4504,58570.172919090,-0.10826356,-0.14311208,0.00434239,-0.98375767
58570312,4519,58570.381254290,-0.10813948,-0.14313531,0.00433639,-0.98376793
58570531,4534,58570.589590090,-0.10817471,-0.14309120,0.00431538,-0.98377055
58570734,4549,58570.797925690,-0.10819476,-0.14311461,0.00431314,-0.98376507
58570937,4564,58571.009205276,-0.10822603,-0.14317673,0.00436703,-0.98375231
58571140,4578,58571.203456737,-0.10822634,-0.14306909,0.00429391,-0.98376822
58571343,4593,58571.409140281,-0.10820941,-0.14308113,0.00428955,-0.98376834
58571546,4607,58571.601689620,-0.10818546,-0.14306994,0.00433155,-0.98377246
58571750,4623,58571.822386261,-0.10819881,-0.14311813,0.00426074,-0.98376423
58571953,4637,58572.031211238,-0.10819362,-0.14309070,0.00437980,-0.98376828
58572156,4651,58572.225658138,-0.10814604,-0.14317438,0.00435982,-0.98376149
58572375,4664,58572.442973450,-0.10822072,-0.14307870,0.00437203,-0.98376715
58572578,4677,58572.653268800,-0.10820017,-0.14305277,0.00439855,-0.98377299
58572781,4691,58572.861604100,-0.10815736,-0.14307940,0.00436236,-0.98377401
