tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58841437,19860,58841.517114134,-0.10807025,-0.14283609,0.00428821,-0.98381925
58841453,19861,58841.530806547,-0.10819345,-0.14287417,0.00431211,-0.98380005
58841468,19862,58841.544510676,-0.10807457,-0.14288032,0.00423654,-0.98381263
58841484,19863,58841.558213422,-0.10809976,-0.14284614,0.00428629,-0.98381460
58841500,19864,58841.571928224,-0.10809068,-0.14290568,0.00430216,-0.98380691
58841515,19865,58841.585639301,-0.10809943,-0.14284764,0.00428596,-0.98381436
58841531,19866,58841.599328789,-0.10815569,-0.14284723,0.00428271,-0.98380834
58841546,19867,58841.613018604,-0.10809202,-0.14289759,0.00435020,-0.98380768
58841562,19868,58841.626712041,-0.10810231,-0.14281654,0.00426397,-0.98381871
58841562,19869,58841.640439869,-0.10809965,-0.14285712,0.00424823,-0.98381317
58841578,19870,58841.654153092,-0.10813481,-0.14283098,0.00423441,-0.98381311
58841593,19871,58841.667863977,-0.10811111,-0.14290236,0.00434314,-0.98380488
58841609,19872,58841.681572315,-0.10808228,-0.14288399,0.00430975,-0.98381090
58841625,19873,58841.695291426,-0.10810005,-0.14283063,0.00422938,-0.98381704
58841640,19874,58841.709017158,-0.10809415,-0.14288460,0.00427476,-0.98380971
58841656,19875,58841.722742938,-0.10813259,-0.14286630,0.00421869,-0.98380834
58841671,19876,58841.736465440,-0.10812201,-0.14288023,0.00428574,-0.98380715
58841687,19877,58841.750185631,-0.10815257,-0.14291480,0.00429994,-0.98379880
58841687,19878,58841.763919144,-0.10807512,-0.14286335,0.00423715,-0.98381501
58841703,19879,58841.777655088,-0.10807796,-0.14282222,0.00425932,-0.98382062
58841718,19880,58841.791402766,-0.10809972,-0.14289634,0.00432305,-0.98380709
58841734,19881,58841.805159923,-0.10808203,-0.14288314,0.00425768,-0.98381126
58841750,19882,58841.818939854,-0.10810371,-0.14287353,0.00431975,-0.98381001
58841765,19883,58841.832690328,-0.10808306,-0.14285046,0.00427983,-0.98381579
58841781,19884,58841.846433110,-0.10809469,-0.14283431,0.00421734,-0.98381710
58841796,19885,58841.860173929,-0.10814987,-0.14284387,0.00428572,-0.98380941
58841812,19886,58841.873932665,-0.10810132,-0.14285672,0.00422380,-0.98381311
58841812,19887,58841.887692345,-0.10815499,-0.14287814,0.00429244,-0.98380387
58841828,19888,58841.901459752,-0.10818906,-0.14289235,0.00424085,-0.98379821
58841843,19889,58841.915257191,-0.10812402,-0.14287069,0.00428897,-0.98380834
58841859,19890,58841.929029537,-0.10813181,-0.14284432,0.00424816,-0.98381144
58841875,19891,58841.942795040,-0.10819629,-0.14284840,0.00426372,-0.98380375
58841890,19892,58841.956569236,-0.10813971,-0.14281009,0.00427834,-0.98381549
58841906,19893,58841.970356093,-0.10814796,-0.14281505,0.00424772,-0.98381394
58841921,19894,58841.984148120,-0.10814274,-0.14287508,0.00426024,-0.98380578
58841921,19895,58841.997937252,-0.10820965,-0.14282358,0.00425089,-0.98380589
58841937,19896,58842.011735824,-0.10814767,-0.14285241,0.00425292,-0.98380852
58841953,19897,58842.025534634,-0.10814788,-0.14281297,0.00426583,-0.98381424
58841968,19898,58842.039341138,-0.10814790,-0.14287990,0.00424341,-0.98380452
58841984,19899,58842.053138153,-0.10817567,-0.14288329,0.00424733,-0.98380107
58842000,19900,58842.066932765,-0.10815421,-0.14285606,0.00424265,-0.98380738
58842015,19901,58842.080729284,-0.10818022,-0.14288703,0.00425405,-0.98379993
58842031,19902,58842.094526829,-0.10812578,-0.14286330,0.00423930,-0.98380947
58842046,19903,58842.108333098,-0.10813038,-0.14286713,0.00420820,-0.98380852
58842062,19904,58842.122135921,-0.10812577,-0.14285934,0.00424583,-0.98380995
58842078,19905,58842.135946410,-0.10821293,-0.14286214,0.00425524,-0.98379993
58842078,19906,58842.149755669,-0.10815103,-0.14285223,0.00427555,-0.98380810
58842093,19907,58842.163569954,-0.10817938,-0.14290656,0.00429479,-0.98379701
58842109,19908,58842.177385673,-0.10812127,-0.14281768,0.00429072,-0.98381633
58842125,19909,58842.191201620,-0.10811500,-0.14284497,0.00432382,-0.98381287
58842140,19910,58842.205004479,-0.10811762,-0.14282310,0.00429671,-0.98381591
58842156,19911,58842.218807410,-0.10811607,-0.14288601,0.00425626,-0.98380709
58842171,19912,58842.232626333,-0.10814378,-0.14283991,0.00422211,-0.98381090
58842171,19913,58842.246442671,-0.10812889,-0.14287934,0.00429471,-0.98380649
58842203,19914,58842.260261195,-0.10814573,-0.14283697,0.00432494,-0.98381066
58842203,19915,58842.274090365,-0.10812134,-0.14284357,0.00428714,-0.98381257
58842218,19916,58842.287915852,-0.10814910,-0.14284913,0.00426062,-0.98380882
58842234,19917,58842.301784692,-0.10811842,-0.14281166,0.00427946,-0.98381758
58842250,19918,58842.315673792,-0.10815135,-0.14287812,0.00427142,-0.98380429
58842265,19919,58842.329562792,-0.10812142,-0.14284062,0.00427991,-0.98381299
58842281,19920,58842.343451792,-0.10815766,-0.14281479,0.00424804,-0.98381293
58842281,19921,58842.357340692,-0.10813018,-0.14285213,0.00425414,-0.98381054
58842296,19922,58842.371229892,-0.10813437,-0.14288960,0.00421289,-0.98380482
58842312,19923,58842.385118892,-0.10809182,-0.14283939,0.00425778,-0.98381656
58842328,19924,58842.399007892,-0.10816850,-0.14286454,0.00429492,-0.98380429
58842343,19925,58842.412896892,-0.10811708,-0.14284416,0.00426311,-0.98381305
58842359,19926,58842.426785992,-0.10809837,-0.14285453,0.00419878,-0.98381394
58842375,19927,58842.440675092,-0.10811710,-0.14283887,0.00425550,-0.98381388
58842390,19928,58842.454564192,-0.10815209,-0.14285512,0.00420574,-0.98380792
58842406,19929,58842.468453292,-0.10811426,-0.14280653,0.00427257,-0.98381877
58842421,19930,58842.482342492,-0.10811904,-0.14284210,0.00425025,-0.98381323
58842421,19931,58842.496231392,-0.10809433,-0.14284472,0.00424282,-0.98381555
58842437,19932,58842.510120492,-0.10812449,-0.14284137,0.00427407,-0.98381257
58842453,19933,58842.524009592,-0.10812803,-0.14281483,0.00427513,-0.98381609
58842468,19934,58842.537898592,-0.10809505,-0.14289907,0.00426415,-0.98380750
58842484,19935,58842.551787592,-0.10809413,-0.14284836,0.00425104,-0.98381507
58842500,19936,58842.565676492,-0.10814789,-0.14282957,0.00425157,-0.98381180
58842515,19937,58842.579565492,-0.10812155,-0.14288488,0.00428712,-0.98380661
58842531,19938,58842.593454492,-0.10817334,-0.14282441,0.00433477,-0.98380941
58842546,19939,58842.607343492,-0.10818986,-0.14284006,0.00425318,-0.98380566
58842562,19940,58842.621232492,-0.10812628,-0.14283143,0.00430000,-0.98381370
58842562,19941,58842.635121392,-0.10813022,-0.14291939,0.00426825,-0.98380065
58842578,19942,58842.649010492,-0.10809987,-0.14282759,0.00428359,-0.98381722
58842593,19943,58842.662899692,-0.10812860,-0.14284849,0.00427507,-0.98381108
58842609,19944,58842.676788692,-0.10817324,-0.14287250,0.00431202,-0.98380262
58842625,19945,58842.690677792,-0.10810008,-0.14284638,0.00427254,-0.98381454
58842640,19946,58842.704566792,-0.10809317,-0.14290327,0.00428066,-0.98380709
58842656,19947,58842.718455992,-0.10814895,-0.14281633,0.00432176,-0.98381335
58842671,19948,58842.732345192,-0.10819834,-0.14290103,0.00434620,-0.98379558
58842687,19949,58842.746234292,-0.10815457,-0.14285557,0.00430231,-0.98380709
58842703,19950,58842.760123392,-0.10809910,-0.14285107,0.00429519,-0.98381388
58842703,19951,58842.774012492,-0.10809595,-0.14285722,0.00427473,-0.98381341
58842718,19952,58842.787904092,-0.10812063,-0.14289413,0.00425385,-0.98380548
58842734,19953,58842.801793092,-0.10813087,-0.14290497,0.00435085,-0.98380232
58842750,19954,58842.815682292,-0.10811170,-0.14283285,0.00429557,-0.98381519
58842765,19955,58842.829571492,-0.10814306,-0.14283702,0.00429714,-0.98381108
58842781,19956,58842.843460392,-0.10812103,-0.14283532,0.00429508,-0.98381376
58842796,19957,58842.857349492,-0.10812394,-0.14283739,0.00428574,-0.98381317
58842812,19958,58842.875980697,-0.10810520,-0.14284927,0.00422294,-0.98381376
58842812,19959,58842.889869597,-0.10812498,-0.14290628,0.00423956,-0.98380327
58842828,19960,58842.903758697,-0.10813766,-0.14286537,0.00428576,-0.98380762
58842859,19961,58842.917647897,-0.10813481,-0.14282967,0.00434051,-0.98381287
58842875,19962,58842.955038697,-0.10813526,-0.14291120,0.00425854,-0.98380136
58842890,19963,58842.968927697,-0.10807183,-0.14289343,0.00430183,-0.98381078
58842906,19964,58842.982816697,-0.10809874,-0.14290337,0.00428169,-0.98380637
58842921,19965,58842.996705797,-0.10812134,-0.14287147,0.00430476,-0.98380846
58842937,19966,58843.010594697,-0.10815365,-0.14283900,0.00433189,-0.98380953
58842953,19967,58843.024483697,-0.10810164,-0.14291981,0.00434084,-0.98380339
58842968,19968,58843.038372697,-0.10810938,-0.14290214,0.00431589,-0.98380524
58842984,19969,58843.052261897,-0.10810998,-0.14290111,0.00431190,-0.98380542
58843000,19970,58843.066150997,-0.10809112,-0.14287643,0.00429590,-0.98381114
58843015,19971,58843.080040197,-0.10808261,-0.14286344,0.00434568,-0.98381370
58843031,19972,58843.093929097,-0.10813791,-0.14291728,0.00426572,-0.98380017
58843046,19973,58843.107818297,-0.10814151,-0.14288312,0.00430546,-0.98380452
58843046,19974,58843.121707397,-0.10819502,-0.14288917,0.00430496,-0.98379773
58843062,19975,58843.135596397,-0.10812554,-0.14289069,0.00429577,-0.98380524
58843078,19976,58843.149485297,-0.10812979,-0.14292316,0.00427695,-0.98380017
58843093,19977,58843.163374297,-0.10812757,-0.14292668,0.00427589,-0.98379987
58843109,19978,58843.177263397,-0.10813161,-0.14287308,0.00426231,-0.98380727
58843125,19979,58843.191152497,-0.10811502,-0.14287727,0.00431290,-0.98380822
58843125,19980,58843.205041397,-0.10812026,-0.14285333,0.00427954,-0.98381126
58843140,19981,58843.218930597,-0.10815012,-0.14285582,0.00428898,-0.98380768
58843156,19982,58843.232819497,-0.10812657,-0.14290932,0.00426454,-0.98380256
58843171,19983,58843.246708697,-0.10817110,-0.14289953,0.00432331,-0.98379886
58843187,19984,58843.260597897,-0.10810494,-0.14288233,0.00427863,-0.98380876
58843203,19985,58843.274486897,-0.10809446,-0.14287442,0.00433016,-0.98381090
58843218,19986,58843.288375897,-0.10812578,-0.14288512,0.00426638,-0.98380619
58843234,19987,58843.302264897,-0.10810394,-0.14289133,0.00425705,-0.98380768
58843234,19988,58843.316153997,-0.10814355,-0.14288627,0.00428526,-0.98380399
58843250,19989,58843.330042997,-0.10811913,-0.14288329,0.00427881,-0.98380709
58843265,19990,58843.343931997,-0.10812116,-0.14291851,0.00426402,-0.98380184
58843312,19991,58843.357820897,-0.10810173,-0.14289124,0.00428134,-0.98380780
58843328,19992,58843.397199697,-0.10812274,-0.14288414,0.00431196,-0.98380643
58843343,19993,58843.411088597,-0.10812707,-0.14286385,0.00428599,-0.98380899
58843343,19994,58843.424977697,-0.10812577,-0.14289047,0.00429468,-0.98380530
58843359,19995,58843.438866897,-0.10809660,-0.14290805,0.00431931,-0.98380572
58843375,19996,58843.452755797,-0.10812649,-0.14290357,0.00432630,-0.98380309
58843390,19997,58843.466644897,-0.10810056,-0.14291197,0.00429868,-0.98380488
58843406,19998,58843.480534097,-0.10813224,-0.14292113,0.00427975,-0.98380017
58843421,19999,58843.494422997,-0.10810763,-0.14289607,0.00427115,-0.98380649
58843437,20000,58843.508311997,-0.10810900,-0.14286274,0.00426099,-0.98381126
58843453,20001,58843.522201097,-0.10814936,-0.14287604,0.00432223,-0.98380458
58843468,20002,58843.536090197,-0.10810654,-0.14289209,0.00424203,-0.98380733
58843484,20003,58843.549979097,-0.10812453,-0.14288892,0.00426972,-0.98380566
58843500,20004,58843.563868197,-0.10813256,-0.14288606,0.00427259,-0.98380524
